2018-02-05 12:00:16 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 12:00:16', '171.210.158.114', 'Mozilla/5.0 (Linux; Android 6.0.1; SM-C5000 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043632 Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 12:01:14 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 12:01:14', '58.247.212.98', 'Mozilla/5.0 (Linux; Android 4.4.4; HUAWEI ALE-CL00 Build/HuaweiALE-CL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043024 Safari/537.36 MicroMessenger/6.5.4.1000 NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 12:01:15 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 12:01:15', '61.151.180.39', 'Mozilla/5.0 (Linux; U; Android 4.4.4; zh-cn; MX4 Pro Build/KTU84P) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 12:05:57 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 12:05:57', '171.213.17.59', 'Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Mobile/15C202 MicroMessenger/6.6.2 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 13:31:37 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 13:31:37', '171.210.222.21', 'Mozilla/5.0 (Linux; Android 6.0.1; OPPO R9s Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 14:57:09 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 14:57:09', '110.184.135.76', 'Mozilla/5.0 (Linux; U; Android 4.4.2; zh-cn; OB-OPPO R7005 Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36 OppoBrowser/4.4.9', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 15:19:03 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 15:19:03', '118.113.244.184', 'Mozilla/5.0 (Linux; Android 7.0; STF-AL10 Build/HUAWEISTF-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 15:28:32 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 15:28:32', '171.210.155.255', 'Mozilla/5.0 (Linux; Android 6.0.1; ivvi i3P-02 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043613 Safari/537.36 MicroMessenger/6.5.16.1120 NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 15:29:55 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 15:29:55', '222.212.204.133', 'Mozilla/5.0 (Linux; Android 6.0; GO T5 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043613 Safari/537.36 MicroMessenger/6.5.16.1120 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 16:15:58 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 16:15:58', '125.71.67.201', 'Mozilla/5.0 (Linux; Android 5.1.1; SM-J3119S Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043507 Safari/537.36 MicroMessenger/6.5.13.1100 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
